"","metric","variable","value","year","month","raw_value","untrans_value"
"1","Revenue USD Mil","X2007.12",34401000000,"2007","12","34,401",34401
"2","Gross Margin %","X2007.12",NA,"2007","12","",NA
"3","Operating Income USD Mil","X2007.12",4686000000,"2007","12","4,686",4686
"4","Operating Margin %","X2007.12",0.136,"2007","12","13.6",13.6
"5","Net Income USD Mil","X2007.12",3704000000,"2007","12","3,704",3704
"6","Earnings Per Share USD","X2007.12",7.61,"2007","12","7.61",7.61
"7","Dividends USD","X2007.12",1.15,"2007","12","1.15",1.15
"8","Payout Ratio % *","X2007.12",0.151,"2007","12","15.1",15.1
"9","Shares Mil","X2007.12",468000000,"2007","12","468",468
"10","Book Value Per Share * USD","X2007.12",52.2,"2007","12","52.20",52.2
"11","Operating Cash Flow USD Mil","X2007.12",5966000000,"2007","12","5,966",5966
"12","Cap Spending USD Mil","X2007.12",NA,"2007","12","",NA
"13","Free Cash Flow USD Mil","X2007.12",5966000000,"2007","12","5,966",5966
"14","Free Cash Flow Per Share * USD","X2007.12",12.74,"2007","12","12.74",12.74
"15","Working Capital USD Mil","X2007.12",NA,"2007","12","",NA
"16","Revenue","X2007.12",100,"2007","12","100.00",100
"17","COGS","X2007.12",NA,"2007","12","",NA
"18","Gross Margin","X2007.12",NA,"2007","12","",NA
"19","SG&A","X2007.12",25.7,"2007","12","25.70",25.7
"20","R&D","X2007.12",NA,"2007","12","",NA
"21","Other","X2007.12",60.68,"2007","12","60.68",60.68
"22","Operating Margin","X2007.12",13.62,"2007","12","13.62",13.62
"23","Net Int Inc & Other","X2007.12",NA,"2007","12","",NA
"24","EBT Margin","X2007.12",13.62,"2007","12","13.62",13.62
"25","Tax Rate %","X2007.12",0.2657,"2007","12","26.57",26.57
"26","Net Margin %","X2007.12",0.1077,"2007","12","10.77",10.77
"27","Asset Turnover (Average)","X2007.12",0.07,"2007","12","0.07",0.07
"28","Return on Assets %","X2007.12",0.0079,"2007","12","0.79",0.79
"29","Financial Leverage (Average)","X2007.12",20.71,"2007","12","20.71",20.71
"30","Return on Equity %","X2007.12",0.1598,"2007","12","15.98",15.98
"31","Return on Invested Capital %","X2007.12",NA,"2007","12","",NA
"32","Interest Coverage","X2007.12",NA,"2007","12","",NA
"33","Year over Year","X2007.12",5.89,"2007","12","5.89",5.89
"34","3-Year Average","X2007.12",6.66,"2007","12","6.66",6.66
"35","5-Year Average","X2007.12",5.22,"2007","12","5.22",5.22
"36","10-Year Average","X2007.12",NA,"2007","12","",NA
"37","Year over Year","X2007.12",6.43,"2007","12","6.43",6.43
"38","3-Year Average","X2007.12",12.55,"2007","12","12.55",12.55
"39","5-Year Average","X2007.12",136.01,"2007","12","136.01",136.01
"40","10-Year Average","X2007.12",NA,"2007","12","",NA
"41","Year over Year","X2007.12",8.05,"2007","12","8.05",8.05
"42","3-Year Average","X2007.12",17.97,"2007","12","17.97",17.97
"43","5-Year Average","X2007.12",80.37,"2007","12","80.37",80.37
"44","10-Year Average","X2007.12",NA,"2007","12","",NA
"45","Year over Year","X2007.12",17.08,"2007","12","17.08",17.08
"46","3-Year Average","X2007.12",31.98,"2007","12","31.98",31.98
"47","5-Year Average","X2007.12",86.68,"2007","12","86.68",86.68
"48","10-Year Average","X2007.12",NA,"2007","12","",NA
"49","Operating Cash Flow Growth % YOY","X2007.12",NA,"2007","12","",NA
"50","Free Cash Flow Growth % YOY","X2007.12",NA,"2007","12","",NA
"51","Cap Ex as a % of Sales","X2007.12",NA,"2007","12","",NA
"52","Free Cash Flow/Sales %","X2007.12",0.1734,"2007","12","17.34",17.34
"53","Free Cash Flow/Net Income","X2007.12",1.61,"2007","12","1.61",1.61
"54","Cash & Short-Term Investments","X2007.12",3.35,"2007","12","3.35",3.35
"55","Accounts Receivable","X2007.12",NA,"2007","12","",NA
"56","Inventory","X2007.12",NA,"2007","12","",NA
"57","Other Current Assets","X2007.12",NA,"2007","12","",NA
"58","Total Current Assets","X2007.12",NA,"2007","12","",NA
"59","Net PP&E","X2007.12",NA,"2007","12","",NA
"60","Intangibles","X2007.12",NA,"2007","12","",NA
"61","Other Long-Term Assets","X2007.12",NA,"2007","12","",NA
"62","Total Assets","X2007.12",100,"2007","12","100.00",100
"63","Accounts Payable","X2007.12",1.05,"2007","12","1.05",1.05
"64","Short-Term Debt","X2007.12",3.22,"2007","12","3.22",3.22
"65","Taxes Payable","X2007.12",0.73,"2007","12","0.73",0.73
"66","Accrued Liabilities","X2007.12",NA,"2007","12","",NA
"67","Other Short-Term Liabilities","X2007.12",NA,"2007","12","",NA
"68","Total Current Liabilities","X2007.12",NA,"2007","12","",NA
"69","Long-Term Debt","X2007.12",2.9,"2007","12","2.90",2.9
"70","Other Long-Term Liabilities","X2007.12",NA,"2007","12","",NA
"71","Total Liabilities","X2007.12",95.17,"2007","12","95.17",95.17
"72","Total Stockholders' Equity","X2007.12",4.83,"2007","12","4.83",4.83
"73","Total Liabilities & Equity","X2007.12",100,"2007","12","100.00",100
"74","Current Ratio","X2007.12",NA,"2007","12","",NA
"75","Quick Ratio","X2007.12",NA,"2007","12","",NA
"76","Financial Leverage","X2007.12",20.71,"2007","12","20.71",20.71
"77","Debt/Equity","X2007.12",0.6,"2007","12","0.60",0.6
"78","Days Sales Outstanding","X2007.12",NA,"2007","12","",NA
"79","Days Inventory","X2007.12",NA,"2007","12","",NA
"80","Payables Period","X2007.12",NA,"2007","12","",NA
"81","Cash Conversion Cycle","X2007.12",NA,"2007","12","",NA
"82","Receivables Turnover","X2007.12",NA,"2007","12","",NA
"83","Inventory Turnover","X2007.12",NA,"2007","12","",NA
"84","Fixed Assets Turnover","X2007.12",NA,"2007","12","",NA
"85","Asset Turnover","X2007.12",0.07,"2007","12","0.07",0.07
"86","Revenue USD Mil","X2008.12",29219000000,"2008","12","29,219",29219
"87","Gross Margin %","X2008.12",NA,"2008","12","",NA
"88","Operating Income USD Mil","X2008.12",-1139000000,"2008","12","-1,139",-1139
"89","Operating Margin %","X2008.12",-0.039,"2008","12","-3.9",-3.9
"90","Net Income USD Mil","X2008.12",-1117000000,"2008","12","-1,117",-1117
"91","Earnings Per Share USD","X2008.12",-2.53,"2008","12","-2.53",-2.53
"92","Dividends USD","X2008.12",0.58,"2008","12","0.58",0.58
"93","Payout Ratio % *","X2008.12",NA,"2008","12","",NA
"94","Shares Mil","X2008.12",429000000,"2008","12","429",429
"95","Book Value Per Share * USD","X2008.12",31.81,"2008","12","31.81",31.81
"96","Operating Cash Flow USD Mil","X2008.12",10838000000,"2008","12","10,838",10838
"97","Cap Spending USD Mil","X2008.12",NA,"2008","12","",NA
"98","Free Cash Flow USD Mil","X2008.12",10838000000,"2008","12","10,838",10838
"99","Free Cash Flow Per Share * USD","X2008.12",25.22,"2008","12","25.22",25.22
"100","Working Capital USD Mil","X2008.12",NA,"2008","12","",NA
"101","Revenue","X2008.12",100,"2008","12","100.00",100
"102","COGS","X2008.12",NA,"2008","12","",NA
"103","Gross Margin","X2008.12",NA,"2008","12","",NA
"104","SG&A","X2008.12",31.74,"2008","12","31.74",31.74
"105","R&D","X2008.12",NA,"2008","12","",NA
"106","Other","X2008.12",72.16,"2008","12","72.16",72.16
"107","Operating Margin","X2008.12",-3.9,"2008","12","-3.90",-3.9
"108","Net Int Inc & Other","X2008.12",NA,"2008","12","",NA
"109","EBT Margin","X2008.12",-3.9,"2008","12","-3.90",-3.9
"110","Tax Rate %","X2008.12",NA,"2008","12","",NA
"111","Net Margin %","X2008.12",-0.0367,"2008","12","-3.67",-3.67
"112","Asset Turnover (Average)","X2008.12",0.06,"2008","12","0.06",0.06
"113","Return on Assets %","X2008.12",-0.0023,"2008","12","-0.23",-0.23
"114","Financial Leverage (Average)","X2008.12",33.16,"2008","12","33.16",33.16
"115","Return on Equity %","X2008.12",-0.0582,"2008","12","-5.82",-5.82
"116","Return on Invested Capital %","X2008.12",NA,"2008","12","",NA
"117","Interest Coverage","X2008.12",NA,"2008","12","",NA
"118","Year over Year","X2008.12",-14.9,"2008","12","-14.90",-14.9
"119","3-Year Average","X2008.12",-2.63,"2008","12","-2.63",-2.63
"120","5-Year Average","X2008.12",0.96,"2008","12","0.96",0.96
"121","10-Year Average","X2008.12",NA,"2008","12","",NA
"122","Year over Year","X2008.12",NA,"2008","12","",NA
"123","3-Year Average","X2008.12",NA,"2008","12","",NA
"124","5-Year Average","X2008.12",NA,"2008","12","",NA
"125","10-Year Average","X2008.12",NA,"2008","12","",NA
"126","Year over Year","X2008.12",NA,"2008","12","",NA
"127","3-Year Average","X2008.12",NA,"2008","12","",NA
"128","5-Year Average","X2008.12",NA,"2008","12","",NA
"129","10-Year Average","X2008.12",NA,"2008","12","",NA
"130","Year over Year","X2008.12",NA,"2008","12","",NA
"131","3-Year Average","X2008.12",NA,"2008","12","",NA
"132","5-Year Average","X2008.12",NA,"2008","12","",NA
"133","10-Year Average","X2008.12",NA,"2008","12","",NA
"134","Operating Cash Flow Growth % YOY","X2008.12",NA,"2008","12","",NA
"135","Free Cash Flow Growth % YOY","X2008.12",NA,"2008","12","",NA
"136","Cap Ex as a % of Sales","X2008.12",NA,"2008","12","",NA
"137","Free Cash Flow/Sales %","X2008.12",0.3709,"2008","12","37.09",37.09
"138","Free Cash Flow/Net Income","X2008.12",-9.7,"2008","12","-9.70",-9.7
"139","Cash & Short-Term Investments","X2008.12",4.63,"2008","12","4.63",4.63
"140","Accounts Receivable","X2008.12",NA,"2008","12","",NA
"141","Inventory","X2008.12",NA,"2008","12","",NA
"142","Other Current Assets","X2008.12",NA,"2008","12","",NA
"143","Total Current Assets","X2008.12",NA,"2008","12","",NA
"144","Net PP&E","X2008.12",NA,"2008","12","",NA
"145","Intangibles","X2008.12",NA,"2008","12","",NA
"146","Other Long-Term Assets","X2008.12",NA,"2008","12","",NA
"147","Total Assets","X2008.12",100,"2008","12","100.00",100
"148","Accounts Payable","X2008.12",0.1,"2008","12","0.10",0.1
"149","Short-Term Debt","X2008.12",2.37,"2008","12","2.37",2.37
"150","Taxes Payable","X2008.12",0.1,"2008","12","0.10",0.1
"151","Accrued Liabilities","X2008.12",NA,"2008","12","",NA
"152","Other Short-Term Liabilities","X2008.12",NA,"2008","12","",NA
"153","Total Current Liabilities","X2008.12",NA,"2008","12","",NA
"154","Long-Term Debt","X2008.12",4.56,"2008","12","4.56",4.56
"155","Other Long-Term Liabilities","X2008.12",NA,"2008","12","",NA
"156","Total Liabilities","X2008.12",96.98,"2008","12","96.98",96.98
"157","Total Stockholders' Equity","X2008.12",3.02,"2008","12","3.02",3.02
"158","Total Liabilities & Equity","X2008.12",100,"2008","12","100.00",100
"159","Current Ratio","X2008.12",NA,"2008","12","",NA
"160","Quick Ratio","X2008.12",NA,"2008","12","",NA
"161","Financial Leverage","X2008.12",33.16,"2008","12","33.16",33.16
"162","Debt/Equity","X2008.12",1.51,"2008","12","1.51",1.51
"163","Days Sales Outstanding","X2008.12",NA,"2008","12","",NA
"164","Days Inventory","X2008.12",NA,"2008","12","",NA
"165","Payables Period","X2008.12",NA,"2008","12","",NA
"166","Cash Conversion Cycle","X2008.12",NA,"2008","12","",NA
"167","Receivables Turnover","X2008.12",NA,"2008","12","",NA
"168","Inventory Turnover","X2008.12",NA,"2008","12","",NA
"169","Fixed Assets Turnover","X2008.12",NA,"2008","12","",NA
"170","Asset Turnover","X2008.12",0.06,"2008","12","0.06",0.06
"171","Revenue USD Mil","X2009.12",32566000000,"2009","12","32,566",32566
"172","Gross Margin %","X2009.12",NA,"2009","12","",NA
"173","Operating Income USD Mil","X2009.12",1552000000,"2009","12","1,552",1552
"174","Operating Margin %","X2009.12",0.048,"2009","12","4.8",4.8
"175","Net Income USD Mil","X2009.12",3124000000,"2009","12","3,124",3124
"176","Earnings Per Share USD","X2009.12",7.63,"2009","12","7.63",7.63
"177","Dividends USD","X2009.12",0.7,"2009","12","0.70",0.7
"178","Payout Ratio % *","X2009.12",0.092,"2009","12","9.2",9.2
"179","Shares Mil","X2009.12",448000000,"2009","12","448",448
"180","Book Value Per Share * USD","X2009.12",54.29,"2009","12","54.29",54.29
"181","Operating Cash Flow USD Mil","X2009.12",5840000000,"2009","12","5,840",5840
"182","Cap Spending USD Mil","X2009.12",NA,"2009","12","",NA
"183","Free Cash Flow USD Mil","X2009.12",5840000000,"2009","12","5,840",5840
"184","Free Cash Flow Per Share * USD","X2009.12",13.03,"2009","12","13.03",13.03
"185","Working Capital USD Mil","X2009.12",NA,"2009","12","",NA
"186","Revenue","X2009.12",100,"2009","12","100.00",100
"187","COGS","X2009.12",NA,"2009","12","",NA
"188","Gross Margin","X2009.12",NA,"2009","12","",NA
"189","SG&A","X2009.12",22.7,"2009","12","22.70",22.7
"190","R&D","X2009.12",NA,"2009","12","",NA
"191","Other","X2009.12",72.54,"2009","12","72.54",72.54
"192","Operating Margin","X2009.12",4.77,"2009","12","4.77",4.77
"193","Net Int Inc & Other","X2009.12",NA,"2009","12","",NA
"194","EBT Margin","X2009.12",4.77,"2009","12","4.77",4.77
"195","Tax Rate %","X2009.12",0.0134,"2009","12","1.34",1.34
"196","Net Margin %","X2009.12",0.0956,"2009","12","9.56",9.56
"197","Asset Turnover (Average)","X2009.12",0.07,"2009","12","0.07",0.07
"198","Return on Assets %","X2009.12",0.0068,"2009","12","0.68",0.68
"199","Financial Leverage (Average)","X2009.12",19.06,"2009","12","19.06",19.06
"200","Return on Equity %","X2009.12",0.1618,"2009","12","16.18",16.18
"201","Return on Invested Capital %","X2009.12",NA,"2009","12","",NA
"202","Interest Coverage","X2009.12",NA,"2009","12","",NA
"203","Year over Year","X2009.12",11.66,"2009","12","11.66",11.66
"204","3-Year Average","X2009.12",0.2,"2009","12","0.20",0.2
"205","5-Year Average","X2009.12",2.89,"2009","12","2.89",2.89
"206","10-Year Average","X2009.12",NA,"2009","12","",NA
"207","Year over Year","X2009.12",NA,"2009","12","",NA
"208","3-Year Average","X2009.12",-29.1,"2009","12","-29.10",-29.1
"209","5-Year Average","X2009.12",-13.75,"2009","12","-13.75",-13.75
"210","10-Year Average","X2009.12",NA,"2009","12","",NA
"211","Year over Year","X2009.12",NA,"2009","12","",NA
"212","3-Year Average","X2009.12",-3.05,"2009","12","-3.05",-3.05
"213","5-Year Average","X2009.12",6.73,"2009","12","6.73",6.73
"214","10-Year Average","X2009.12",NA,"2009","12","",NA
"215","Year over Year","X2009.12",NA,"2009","12","",NA
"216","3-Year Average","X2009.12",5.49,"2009","12","5.49",5.49
"217","5-Year Average","X2009.12",18.18,"2009","12","18.18",18.18
"218","10-Year Average","X2009.12",NA,"2009","12","",NA
"219","Operating Cash Flow Growth % YOY","X2009.12",NA,"2009","12","",NA
"220","Free Cash Flow Growth % YOY","X2009.12",NA,"2009","12","",NA
"221","Cap Ex as a % of Sales","X2009.12",NA,"2009","12","",NA
"222","Free Cash Flow/Sales %","X2009.12",0.1793,"2009","12","17.93",17.93
"223","Free Cash Flow/Net Income","X2009.12",1.87,"2009","12","1.87",1.87
"224","Cash & Short-Term Investments","X2009.12",4.16,"2009","12","4.16",4.16
"225","Accounts Receivable","X2009.12",NA,"2009","12","",NA
"226","Inventory","X2009.12",NA,"2009","12","",NA
"227","Other Current Assets","X2009.12",NA,"2009","12","",NA
"228","Total Current Assets","X2009.12",NA,"2009","12","",NA
"229","Net PP&E","X2009.12",NA,"2009","12","",NA
"230","Intangibles","X2009.12",NA,"2009","12","",NA
"231","Other Long-Term Assets","X2009.12",NA,"2009","12","",NA
"232","Total Assets","X2009.12",100,"2009","12","100.00",100
"233","Accounts Payable","X2009.12",0.84,"2009","12","0.84",0.84
"234","Short-Term Debt","X2009.12",0.65,"2009","12","0.65",0.65
"235","Taxes Payable","X2009.12",0.84,"2009","12","0.84",0.84
"236","Accrued Liabilities","X2009.12",NA,"2009","12","",NA
"237","Other Short-Term Liabilities","X2009.12",NA,"2009","12","",NA
"238","Total Current Liabilities","X2009.12",NA,"2009","12","",NA
"239","Long-Term Debt","X2009.12",4.38,"2009","12","4.38",4.38
"240","Other Long-Term Liabilities","X2009.12",NA,"2009","12","",NA
"241","Total Liabilities","X2009.12",94.75,"2009","12","94.75",94.75
"242","Total Stockholders' Equity","X2009.12",5.25,"2009","12","5.25",5.25
"243","Total Liabilities & Equity","X2009.12",100,"2009","12","100.00",100
"244","Current Ratio","X2009.12",NA,"2009","12","",NA
"245","Quick Ratio","X2009.12",NA,"2009","12","",NA
"246","Financial Leverage","X2009.12",19.06,"2009","12","19.06",19.06
"247","Debt/Equity","X2009.12",0.83,"2009","12","0.83",0.83
"248","Days Sales Outstanding","X2009.12",NA,"2009","12","",NA
"249","Days Inventory","X2009.12",NA,"2009","12","",NA
"250","Payables Period","X2009.12",NA,"2009","12","",NA
"251","Cash Conversion Cycle","X2009.12",NA,"2009","12","",NA
"252","Receivables Turnover","X2009.12",NA,"2009","12","",NA
"253","Inventory Turnover","X2009.12",NA,"2009","12","",NA
"254","Fixed Assets Turnover","X2009.12",NA,"2009","12","",NA
"255","Asset Turnover","X2009.12",0.07,"2009","12","0.07",0.07
"256","Revenue USD Mil","X2010.12",38217000000,"2010","12","38,217",38217
"257","Gross Margin %","X2010.12",NA,"2010","12","",NA
"258","Operating Income USD Mil","X2010.12",4140000000,"2010","12","4,140",4140
"259","Operating Margin %","X2010.12",0.108,"2010","12","10.8",10.8
"260","Net Income USD Mil","X2010.12",3001000000,"2010","12","3,001",3001
"261","Earnings Per Share USD","X2010.12",5.32,"2010","12","5.32",5.32
"262","Dividends USD","X2010.12",1.15,"2010","12","1.15",1.15
"263","Payout Ratio % *","X2010.12",0.201,"2010","12","20.1",20.1
"264","Shares Mil","X2010.12",475000000,"2010","12","475",475
"265","Book Value Per Share * USD","X2010.12",66.73,"2010","12","66.73",66.73
"266","Operating Cash Flow USD Mil","X2010.12",6542000000,"2010","12","6,542",6542
"267","Cap Spending USD Mil","X2010.12",NA,"2010","12","",NA
"268","Free Cash Flow USD Mil","X2010.12",6542000000,"2010","12","6,542",6542
"269","Free Cash Flow Per Share * USD","X2010.12",13.76,"2010","12","13.76",13.76
"270","Working Capital USD Mil","X2010.12",NA,"2010","12","",NA
"271","Revenue","X2010.12",100,"2010","12","100.00",100
"272","COGS","X2010.12",NA,"2010","12","",NA
"273","Gross Margin","X2010.12",NA,"2010","12","",NA
"274","SG&A","X2010.12",21.74,"2010","12","21.74",21.74
"275","R&D","X2010.12",NA,"2010","12","",NA
"276","Other","X2010.12",67.43,"2010","12","67.43",67.43
"277","Operating Margin","X2010.12",10.83,"2010","12","10.83",10.83
"278","Net Int Inc & Other","X2010.12",NA,"2010","12","",NA
"279","EBT Margin","X2010.12",10.83,"2010","12","10.83",10.83
"280","Tax Rate %","X2010.12",0.2962,"2010","12","29.62",29.62
"281","Net Margin %","X2010.12",0.0832,"2010","12","8.32",8.32
"282","Asset Turnover (Average)","X2010.12",0.08,"2010","12","0.08",0.08
"283","Return on Assets %","X2010.12",0.0063,"2010","12","0.63",0.63
"284","Financial Leverage (Average)","X2010.12",16.65,"2010","12","16.65",16.65
"285","Return on Equity %","X2010.12",0.1109,"2010","12","11.09",11.09
"286","Return on Invested Capital %","X2010.12",NA,"2010","12","",NA
"287","Interest Coverage","X2010.12",NA,"2010","12","",NA
"288","Year over Year","X2010.12",17.52,"2010","12","17.52",17.52
"289","3-Year Average","X2010.12",3.75,"2010","12","3.75",3.75
"290","5-Year Average","X2010.12",3.91,"2010","12","3.91",3.91
"291","10-Year Average","X2010.12",NA,"2010","12","",NA
"292","Year over Year","X2010.12",181.84,"2010","12","181.84",181.84
"293","3-Year Average","X2010.12",-1.91,"2010","12","-1.91",-1.91
"294","5-Year Average","X2010.12",-0.22,"2010","12","-0.22",-0.22
"295","10-Year Average","X2010.12",NA,"2010","12","",NA
"296","Year over Year","X2010.12",2.27,"2010","12","2.27",2.27
"297","3-Year Average","X2010.12",-4.81,"2010","12","-4.81",-4.81
"298","5-Year Average","X2010.12",-2.03,"2010","12","-2.03",-2.03
"299","10-Year Average","X2010.12",NA,"2010","12","",NA
"300","Year over Year","X2010.12",-24.64,"2010","12","-24.64",-24.64
"301","3-Year Average","X2010.12",-8.92,"2010","12","-8.92",-8.92
"302","5-Year Average","X2010.12",-1.93,"2010","12","-1.93",-1.93
"303","10-Year Average","X2010.12",NA,"2010","12","",NA
"304","Operating Cash Flow Growth % YOY","X2010.12",NA,"2010","12","",NA
"305","Free Cash Flow Growth % YOY","X2010.12",NA,"2010","12","",NA
"306","Cap Ex as a % of Sales","X2010.12",NA,"2010","12","",NA
"307","Free Cash Flow/Sales %","X2010.12",0.1712,"2010","12","17.12",17.12
"308","Free Cash Flow/Net Income","X2010.12",2.18,"2010","12","2.18",2.18
"309","Cash & Short-Term Investments","X2010.12",3.37,"2010","12","3.37",3.37
"310","Accounts Receivable","X2010.12",NA,"2010","12","",NA
"311","Inventory","X2010.12",NA,"2010","12","",NA
"312","Other Current Assets","X2010.12",NA,"2010","12","",NA
"313","Total Current Assets","X2010.12",NA,"2010","12","",NA
"314","Net PP&E","X2010.12",NA,"2010","12","",NA
"315","Intangibles","X2010.12",NA,"2010","12","",NA
"316","Other Long-Term Assets","X2010.12",NA,"2010","12","",NA
"317","Total Assets","X2010.12",100,"2010","12","100.00",100
"318","Accounts Payable","X2010.12",1.58,"2010","12","1.58",1.58
"319","Short-Term Debt","X2010.12",0.37,"2010","12","0.37",0.37
"320","Taxes Payable","X2010.12",1.18,"2010","12","1.18",1.18
"321","Accrued Liabilities","X2010.12",NA,"2010","12","",NA
"322","Other Short-Term Liabilities","X2010.12",NA,"2010","12","",NA
"323","Total Current Liabilities","X2010.12",NA,"2010","12","",NA
"324","Long-Term Debt","X2010.12",4.38,"2010","12","4.38",4.38
"325","Other Long-Term Liabilities","X2010.12",NA,"2010","12","",NA
"326","Total Liabilities","X2010.12",94,"2010","12","94.00",94
"327","Total Stockholders' Equity","X2010.12",6,"2010","12","6.00",6
"328","Total Liabilities & Equity","X2010.12",100,"2010","12","100.00",100
"329","Current Ratio","X2010.12",NA,"2010","12","",NA
"330","Quick Ratio","X2010.12",NA,"2010","12","",NA
"331","Financial Leverage","X2010.12",16.65,"2010","12","16.65",16.65
"332","Debt/Equity","X2010.12",0.73,"2010","12","0.73",0.73
"333","Days Sales Outstanding","X2010.12",NA,"2010","12","",NA
"334","Days Inventory","X2010.12",NA,"2010","12","",NA
"335","Payables Period","X2010.12",NA,"2010","12","",NA
"336","Cash Conversion Cycle","X2010.12",NA,"2010","12","",NA
"337","Receivables Turnover","X2010.12",NA,"2010","12","",NA
"338","Inventory Turnover","X2010.12",NA,"2010","12","",NA
"339","Fixed Assets Turnover","X2010.12",NA,"2010","12","",NA
"340","Asset Turnover","X2010.12",0.08,"2010","12","0.08",0.08
"341","Revenue USD Mil","X2011.12",49085000000,"2011","12","49,085",49085
"342","Gross Margin %","X2011.12",NA,"2011","12","",NA
"343","Operating Income USD Mil","X2011.12",4964000000,"2011","12","4,964",4964
"344","Operating Margin %","X2011.12",0.101,"2011","12","10.1",10.1
"345","Net Income USD Mil","X2011.12",3632000000,"2011","12","3,632",3632
"346","Earnings Per Share USD","X2011.12",7.12,"2011","12","7.12",7.12
"347","Dividends USD","X2011.12",1.45,"2011","12","1.45",1.45
"348","Payout Ratio % *","X2011.12",0.181,"2011","12","18.1",18.1
"349","Shares Mil","X2011.12",488000000,"2011","12","488",488
"350","Book Value Per Share * USD","X2011.12",79.03,"2011","12","79.03",79.03
"351","Operating Cash Flow USD Mil","X2011.12",12377000000,"2011","12","12,377",12377
"352","Cap Spending USD Mil","X2011.12",NA,"2011","12","",NA
"353","Free Cash Flow USD Mil","X2011.12",12377000000,"2011","12","12,377",12377
"354","Free Cash Flow Per Share * USD","X2011.12",26.02,"2011","12","26.02",26.02
"355","Working Capital USD Mil","X2011.12",NA,"2011","12","",NA
"356","Revenue","X2011.12",100,"2011","12","100.00",100
"357","COGS","X2011.12",NA,"2011","12","",NA
"358","Gross Margin","X2011.12",NA,"2011","12","",NA
"359","SG&A","X2011.12",21.61,"2011","12","21.61",21.61
"360","R&D","X2011.12",NA,"2011","12","",NA
"361","Other","X2011.12",68.28,"2011","12","68.28",68.28
"362","Operating Margin","X2011.12",10.11,"2011","12","10.11",10.11
"363","Net Int Inc & Other","X2011.12",NA,"2011","12","",NA
"364","EBT Margin","X2011.12",10.11,"2011","12","10.11",10.11
"365","Tax Rate %","X2011.12",0.3125,"2011","12","31.25",31.25
"366","Net Margin %","X2011.12",0.0747,"2011","12","7.47",7.47
"367","Asset Turnover (Average)","X2011.12",0.08,"2011","12","0.08",0.08
"368","Return on Assets %","X2011.12",0.0063,"2011","12","0.63",0.63
"369","Financial Leverage (Average)","X2011.12",16.78,"2011","12","16.78",16.78
"370","Return on Equity %","X2011.12",0.1053,"2011","12","10.53",10.53
"371","Return on Invested Capital %","X2011.12",NA,"2011","12","",NA
"372","Interest Coverage","X2011.12",NA,"2011","12","",NA
"373","Year over Year","X2011.12",27.67,"2011","12","27.67",27.67
"374","3-Year Average","X2011.12",18.77,"2011","12","18.77",18.77
"375","5-Year Average","X2011.12",8.59,"2011","12","8.59",8.59
"376","10-Year Average","X2011.12",6.08,"2011","12","6.08",6.08
"377","Year over Year","X2011.12",15.72,"2011","12","15.72",15.72
"378","3-Year Average","X2011.12",NA,"2011","12","",NA
"379","5-Year Average","X2011.12",3.05,"2011","12","3.05",3.05
"380","10-Year Average","X2011.12",NA,"2011","12","",NA
"381","Year over Year","X2011.12",14.74,"2011","12","14.74",14.74
"382","3-Year Average","X2011.12",NA,"2011","12","",NA
"383","5-Year Average","X2011.12",1.35,"2011","12","1.35",1.35
"384","10-Year Average","X2011.12",NA,"2011","12","",NA
"385","Year over Year","X2011.12",25.57,"2011","12","25.57",25.57
"386","3-Year Average","X2011.12",NA,"2011","12","",NA
"387","5-Year Average","X2011.12",2.12,"2011","12","2.12",2.12
"388","10-Year Average","X2011.12",NA,"2011","12","",NA
"389","Operating Cash Flow Growth % YOY","X2011.12",NA,"2011","12","",NA
"390","Free Cash Flow Growth % YOY","X2011.12",NA,"2011","12","",NA
"391","Cap Ex as a % of Sales","X2011.12",NA,"2011","12","",NA
