"","metric","variable","value","year","month","raw_value","untrans_value"
"1","Revenue AUD Mil","X2007.09",10179000000,"2007","09","10,179",10179
"2","Gross Margin %","X2007.09",NA,"2007","09","",NA
"3","Operating Income AUD Mil","X2007.09",5151000000,"2007","09","5,151",5151
"4","Operating Margin %","X2007.09",0.506,"2007","09","50.6",50.6
"5","Net Income AUD Mil","X2007.09",3453000000,"2007","09","3,453",3453
"6","Earnings Per Share AUD","X2007.09",1.83,"2007","09","1.83",1.83
"7","Dividends AUD","X2007.09",1.22,"2007","09","1.22",1.22
"8","Payout Ratio % *","X2007.09",0.703,"2007","09","70.3",70.3
"9","Shares Mil","X2007.09",1883000000,"2007","09","1,883",1883
"10","Book Value Per Share * AUD","X2007.09",7.04,"2007","09","7.04",7.04
"11","Operating Cash Flow AUD Mil","X2007.09",-1276000000,"2007","09","-1,276",-1276
"12","Cap Spending AUD Mil","X2007.09",-392000000,"2007","09","-392",-392
"13","Free Cash Flow AUD Mil","X2007.09",-1668000000,"2007","09","-1,668",-1668
"14","Free Cash Flow Per Share * AUD","X2007.09",-0.82,"2007","09","-0.82",-0.82
"15","Working Capital AUD Mil","X2007.09",NA,"2007","09","",NA
"16","Revenue","X2007.09",100,"2007","09","100.00",100
"17","COGS","X2007.09",NA,"2007","09","",NA
"18","Gross Margin","X2007.09",NA,"2007","09","",NA
"19","SG&A","X2007.09",26.02,"2007","09","26.02",26.02
"20","R&D","X2007.09",NA,"2007","09","",NA
"21","Other","X2007.09",18.64,"2007","09","18.64",18.64
"22","Operating Margin","X2007.09",50.61,"2007","09","50.61",50.61
"23","Net Int Inc & Other","X2007.09",-4.73,"2007","09","-4.73",-4.73
"24","EBT Margin","X2007.09",50.61,"2007","09","50.61",50.61
"25","Tax Rate %","X2007.09",0.3165,"2007","09","31.65",31.65
"26","Net Margin %","X2007.09",0.3393,"2007","09","33.93",33.93
"27","Asset Turnover (Average)","X2007.09",0.03,"2007","09","0.03",0.03
"28","Return on Assets %","X2007.09",0.0102,"2007","09","1.02",1.02
"29","Financial Leverage (Average)","X2007.09",23.54,"2007","09","23.54",23.54
"30","Return on Equity %","X2007.09",0.2295,"2007","09","22.95",22.95
"31","Return on Invested Capital %","X2007.09",NA,"2007","09","",NA
"32","Interest Coverage","X2007.09",NA,"2007","09","",NA
"33","Year over Year","X2007.09",10.56,"2007","09","10.56",10.56
"34","3-Year Average","X2007.09",8.32,"2007","09","8.32",8.32
"35","5-Year Average","X2007.09",6.98,"2007","09","6.98",6.98
"36","10-Year Average","X2007.09",7.18,"2007","09","7.18",7.18
"37","Year over Year","X2007.09",13.44,"2007","09","13.44",13.44
"38","3-Year Average","X2007.09",13.82,"2007","09","13.82",13.82
"39","5-Year Average","X2007.09",14.06,"2007","09","14.06",14.06
"40","10-Year Average","X2007.09",11.19,"2007","09","11.19",11.19
"41","Year over Year","X2007.09",12.57,"2007","09","12.57",12.57
"42","3-Year Average","X2007.09",10.23,"2007","09","10.23",10.23
"43","5-Year Average","X2007.09",9.52,"2007","09","9.52",9.52
"44","10-Year Average","X2007.09",10.35,"2007","09","10.35",10.35
"45","Year over Year","X2007.09",11.47,"2007","09","11.47",11.47
"46","3-Year Average","X2007.09",13.25,"2007","09","13.25",13.25
"47","5-Year Average","X2007.09",9.37,"2007","09","9.37",9.37
"48","10-Year Average","X2007.09",10.54,"2007","09","10.54",10.54
"49","Operating Cash Flow Growth % YOY","X2007.09",NA,"2007","09","",NA
"50","Free Cash Flow Growth % YOY","X2007.09",NA,"2007","09","",NA
"51","Cap Ex as a % of Sales","X2007.09",0.0385,"2007","09","3.85",3.85
"52","Free Cash Flow/Sales %","X2007.09",-0.1638,"2007","09","-16.38",-16.38
"53","Free Cash Flow/Net Income","X2007.09",-0.48,"2007","09","-0.48",-0.48
"54","Cash & Short-Term Investments","X2007.09",0.8,"2007","09","0.80",0.8
"55","Accounts Receivable","X2007.09",NA,"2007","09","",NA
"56","Inventory","X2007.09",NA,"2007","09","",NA
"57","Other Current Assets","X2007.09",NA,"2007","09","",NA
"58","Total Current Assets","X2007.09",NA,"2007","09","",NA
"59","Net PP&E","X2007.09",0.13,"2007","09","0.13",0.13
"60","Intangibles","X2007.09",0.8,"2007","09","0.80",0.8
"61","Other Long-Term Assets","X2007.09",NA,"2007","09","",NA
"62","Total Assets","X2007.09",100,"2007","09","100.00",100
"63","Accounts Payable","X2007.09",NA,"2007","09","",NA
"64","Short-Term Debt","X2007.09",23.24,"2007","09","23.24",23.24
"65","Taxes Payable","X2007.09",NA,"2007","09","",NA
"66","Accrued Liabilities","X2007.09",NA,"2007","09","",NA
"67","Other Short-Term Liabilities","X2007.09",NA,"2007","09","",NA
"68","Total Current Liabilities","X2007.09",NA,"2007","09","",NA
"69","Long-Term Debt","X2007.09",2.06,"2007","09","2.06",2.06
"70","Other Long-Term Liabilities","X2007.09",NA,"2007","09","",NA
"71","Total Liabilities","X2007.09",95.75,"2007","09","95.75",95.75
"72","Total Stockholders' Equity","X2007.09",4.25,"2007","09","4.25",4.25
"73","Total Liabilities & Equity","X2007.09",100,"2007","09","100.00",100
"74","Current Ratio","X2007.09",NA,"2007","09","",NA
"75","Quick Ratio","X2007.09",NA,"2007","09","",NA
"76","Financial Leverage","X2007.09",23.54,"2007","09","23.54",23.54
"77","Debt/Equity","X2007.09",0.48,"2007","09","0.48",0.48
"78","Days Sales Outstanding","X2007.09",NA,"2007","09","",NA
"79","Days Inventory","X2007.09",NA,"2007","09","",NA
"80","Payables Period","X2007.09",NA,"2007","09","",NA
"81","Cash Conversion Cycle","X2007.09",NA,"2007","09","",NA
"82","Receivables Turnover","X2007.09",NA,"2007","09","",NA
"83","Inventory Turnover","X2007.09",NA,"2007","09","",NA
"84","Fixed Assets Turnover","X2007.09",21.33,"2007","09","21.33",21.33
"85","Asset Turnover","X2007.09",0.03,"2007","09","0.03",0.03
"86","Revenue AUD Mil","X2008.09",11437000000,"2008","09","11,437",11437
